cb_code;cb_codeext;cb_abandon;cb_perirec;cb_etiquet;cb_nd1;cb_nd2;cb_bp1;cb_ba1;cb_bp2;cb_ba2;cb_r1_code;cb_r2_code;cb_r3_code;cb_fo_type;cb_prop;cb_gest;cb_proptyp;cb_statut;cb_dateins;cb_avct;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_cabphy;cb_lgreel;cb_r4_code;cb_user;cb_etat;cb_datemes;cb_tech;cb_diam;cb_color;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CR000092253931;92253931;0;;PBO-SRO-BPI-11363897-002-3-WI-B202-5585-1;CH000004313607;IM00000000000000000000000ID-30117000002Z;BL000008026080;;PTO00092253931;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2024-04-10 11-11-11;S;C;RA;CR000000000304;1;;;1;92253931;179.71;;;;;;;;;;;;;;
CR000032587611;32587611;0;;PBO-SRO-BPI-11363897-036-3-CT-2536-8794-1;CH000004316798;IM00000000000000000000000ID-301170000061;BL000008028039;;PTO00032587611;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-09-09 11-11-11;S;C;RA;CR000000000304;1;;;1;32587611;54.33;;;;;;;;;;;;;;
CR000082177871;82177871;0;;PBO-SRO-BPI-11363897-063-5-WI-B181-1129-1;SU000000880790;IM00000000000000000000000ID-30117000000T;BL000008028081;;PTO00082177871;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2023-08-23 11-11-11;S;C;RA;CR000000000304;1;;;1;82177871;59.16;;;;;;;;;;;;;;
CR000033431911;33431911;0;;PBO-SRO-BPI-11363897-033-5-CT-2536-8750-1;CH000004315506;IM00000000000000000000000ID-30117000005A;BL000008028030;;PTO00033431911;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2023-04-03 11-11-11;S;C;RA;CR000000000304;1;;;1;33431911;30.79;;;;;;;;;;;;;;
CR000033033141;33033141;0;;PBO-SRO-BPI-11363897-064-2-CT-2537-0312-1;CH000004310408;IM00000000000000000000000ID-30117000003P;BL000008027999;;PTO00033033141;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-12-29 11-11-11;S;C;RA;CR000000000304;1;;;1;33033141;26.06;;;;;;;;;;;;;;
CR000025663181;25663181;0;;PBO-SRO-BPI-11363897-007-5-CT-2536-7221-1;SU000000870123;IM00000000000000000000000ID-30117000000F;BL000008026395;;PTO00025663181;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-03-16 11-11-11;S;C;RA;CR000000000304;1;;;1;25663181;43.25;;;;;;;;;;;;;;
CR000034883591;34883591;0;;PBO-SRO-BPI-11363897-026-2-CT-2536-8035-1;CH000004323214;IM00000000000000000000000ID-30117000007F;BL000008028034;;PTO00034883591;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-09-28 11-11-11;S;C;RA;CR000000000304;1;;;1;34883591;56.92;;;;;;;;;;;;;;
CR000039885011;39885011;0;;BE-02-117749607-5-WI-2698-2087-1;IM00000000000000000000000ID-30117000001L;IM00000000000000000000000ID-30117000001L;BL000008255514;;PTO00039885011;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-12-31 11-11-11;S;C;RA;CR000000000304;1;;;1;39885011;35;;;;;;;;;;;;;;
CR000019689021;19689021;0;;PBO-SRO-BPI-11363897-043-3-CT-2536-9168-1;CH000004310066;IM00000000000000000000000ID-301170000072;BL000008028067;;PTO00019689021;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-09-04 11-11-11;S;C;RA;CR000000000304;1;;;1;19689021;14.44;;;;;;;;;;;;;;
CR000023388951;23388951;0;;PBO-SRO-BPI-11363897-046-1-CT-2536-9388-1;CH000004323207;IM00000000000000000000000ID-301170000054;BL000008028070;;PTO00023388951;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-10-03 11-11-11;E;C;RA;CR000000000304;1;;;1;23388951;48.21;;;;;;;;;;;;;;
