fo_code;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_etat;fo_code_ext;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
FOM00000000307;FI000016282500;1;1;1;OK;;;;;;;;;;
FOM00000000308;FI000016282507;1;1;1;OK;;;;;;;;;;
FOM00000000309;FI000016282509;1;1;1;OK;;;;;;;;;;
FOM00000000310;FI000016282551;1;1;1;OK;;;;;;;;;;
FOM00000000311;FI000016282503;1;1;1;OK;;;;;;;;;;
FOM00000000312;FI000016282552;1;1;1;OK;;;;;;;;;;
FOM00000000313;FI000016282502;1;1;1;OK;;;;;;;;;;
FOM00000000314;FI000016282501;1;1;1;OK;;;;;;;;;;
FOM00000000315;FI000016282508;1;1;1;OK;;;;;;;;;;
FOM00000000316;FI000016282500;2;1;2;OK;;;;;;;;;;
FOM00000000317;FI000016282507;2;1;2;OK;;;;;;;;;;
FOM00000000318;FI000016282509;2;1;2;OK;;;;;;;;;;
FOM00000000319;FI000016282551;2;1;2;OK;;;;;;;;;;
FOM00000000320;FI000016282503;2;1;2;OK;;;;;;;;;;
FOM00000000321;FI000016282552;2;1;2;OK;;;;;;;;;;
FOM00000000322;FI000016282502;2;1;2;OK;;;;;;;;;;
FOM00000000323;FI000016282501;2;1;2;OK;;;;;;;;;;
FOM00000000324;FI000016282508;2;1;2;OK;;;;;;;;;;
FOM00000000325;FI000016282500;3;1;3;OK;;;;;;;;;;
FOM00000000326;FI000016282507;3;1;3;OK;;;;;;;;;;
FOM00000000327;FI000016282509;3;1;3;OK;;;;;;;;;;
FOM00000000328;FI000016282551;3;1;3;OK;;;;;;;;;;
FOM00000000329;FI000016282503;3;1;3;OK;;;;;;;;;;
FOM00000000330;FI000016282552;3;1;3;OK;;;;;;;;;;
FOM00000000331;FI000016282502;3;1;3;OK;;;;;;;;;;
FOM00000000332;FI000016282501;3;1;3;OK;;;;;;;;;;
FOM00000000333;FI000016282508;3;1;3;OK;;;;;;;;;;
FOM00000000334;FI000016282500;4;1;4;OK;;;;;;;;;;
FOM00000000335;FI000016282507;4;1;4;OK;;;;;;;;;;
FOM00000000336;FI000016282509;4;1;4;OK;;;;;;;;;;
FOM00000000337;FI000016282551;4;1;4;OK;;;;;;;;;;
FOM00000000338;FI000016282503;4;1;4;OK;;;;;;;;;;
FOM00000000339;FI000016282552;4;1;4;OK;;;;;;;;;;
FOM00000000340;FI000016282502;4;1;4;OK;;;;;;;;;;
FOM00000000341;FI000016282501;4;1;4;OK;;;;;;;;;;
FOM00000000342;FI000016282508;4;1;4;OK;;;;;;;;;;
FOM00000000343;FI000016282500;5;1;5;OK;;;;;;;;;;
FOM00000000344;FI000016282507;5;1;5;OK;;;;;;;;;;
FOM00000000345;FI000016282509;5;1;5;OK;;;;;;;;;;
FOM00000000346;FI000016282551;5;1;5;OK;;;;;;;;;;
FOM00000000347;FI000016282503;5;1;5;OK;;;;;;;;;;
FOM00000000348;FI000016282552;5;1;5;OK;;;;;;;;;;
FOM00000000349;FI000016282502;5;1;5;OK;;;;;;;;;;
FOM00000000350;FI000016282501;5;1;5;OK;;;;;;;;;;
FOM00000000351;FI000016282508;5;1;5;OK;;;;;;;;;;
FOM00000000352;FI000016282500;6;1;6;OK;;;;;;;;;;
FOM00000000353;FI000016282507;6;1;6;OK;;;;;;;;;;
FOM00000000354;FI000016282509;6;1;6;OK;;;;;;;;;;
FOM00000000355;FI000016282551;6;1;6;OK;;;;;;;;;;
FOM00000000356;FI000016282503;6;1;6;OK;;;;;;;;;;
FOM00000000357;FI000016282552;6;1;6;OK;;;;;;;;;;
FOM00000000358;FI000016282502;6;1;6;OK;;;;;;;;;;
FOM00000000359;FI000016282501;6;1;6;OK;;;;;;;;;;
FOM00000000360;FI000016282508;6;1;6;OK;;;;;;;;;;
FOM00000000361;FI000016282500;7;2;1;OK;;;;;;;;;;
FOM00000000362;FI000016282507;7;2;1;OK;;;;;;;;;;
FOM00000000363;FI000016282509;7;2;1;OK;;;;;;;;;;
FOM00000000364;FI000016282503;7;2;1;OK;;;;;;;;;;
FOM00000000365;FI000016282552;7;2;1;OK;;;;;;;;;;
FOM00000000366;FI000016282502;7;2;1;OK;;;;;;;;;;
FOM00000000367;FI000016282501;7;2;1;OK;;;;;;;;;;
FOM00000000368;FI000016282508;7;2;1;OK;;;;;;;;;;
FOM00000000369;FI000016282500;8;2;2;OK;;;;;;;;;;
FOM00000000370;FI000016282507;8;2;2;OK;;;;;;;;;;
FOM00000000371;FI000016282509;8;2;2;OK;;;;;;;;;;
FOM00000000372;FI000016282503;8;2;2;OK;;;;;;;;;;
FOM00000000373;FI000016282552;8;2;2;OK;;;;;;;;;;
FOM00000000374;FI000016282502;8;2;2;OK;;;;;;;;;;
FOM00000000375;FI000016282501;8;2;2;OK;;;;;;;;;;
FOM00000000376;FI000016282508;8;2;2;OK;;;;;;;;;;
FOM00000000377;FI000016282500;9;2;3;OK;;;;;;;;;;
FOM00000000378;FI000016282507;9;2;3;OK;;;;;;;;;;
FOM00000000379;FI000016282509;9;2;3;OK;;;;;;;;;;
FOM00000000380;FI000016282503;9;2;3;OK;;;;;;;;;;
FOM00000000381;FI000016282552;9;2;3;OK;;;;;;;;;;
FOM00000000382;FI000016282502;9;2;3;OK;;;;;;;;;;
FOM00000000383;FI000016282501;9;2;3;OK;;;;;;;;;;
FOM00000000384;FI000016282508;9;2;3;OK;;;;;;;;;;
FOM00000000385;FI000016282500;10;2;4;OK;;;;;;;;;;
FOM00000000386;FI000016282507;10;2;4;OK;;;;;;;;;;
FOM00000000387;FI000016282509;10;2;4;OK;;;;;;;;;;
FOM00000000388;FI000016282503;10;2;4;OK;;;;;;;;;;
FOM00000000389;FI000016282552;10;2;4;OK;;;;;;;;;;
FOM00000000390;FI000016282502;10;2;4;OK;;;;;;;;;;
FOM00000000391;FI000016282501;10;2;4;OK;;;;;;;;;;
