lv_id;lv_cb_code;lv_nd_code;lv_long;lv_creadat;lv_majdate;lv_majsrc;lv_abddate;lv_abdsrc
283;CR000007566851;IM00000000000000000000000ID-30117000005Z;0;;;;;
284;CR000014172761;IM00000000000000000000000ID-30117000001F;0;;;;;
285;CR000007499011;IM00000000000000000000000ID-30117000007H;0;;;;;
286;CR000033477161;IM00000000000000000000000ID-30117000003S;0;;;;;
287;CR000031799111;IM00000000000000000000000ID-3011700000QL;0;;;;;
288;CR000036675361;IM00000000000000000000000ID-30117000006G;0;;;;;
289;CR000031097711;IM00000000000000000000000ID-301170000071;0;;;;;
290;FI000016282591;SU000000880767;0;;;;;
291;FI000016282592;CH000003986231;0;;;;;
292;CR000082786451;IM00000000000000000000000ID-30117000003B;0;;;;;
293;CR000025566821;IM00000000000000000000000ID-30117000000Q;0;;;;;
294;CR000039894261;IM00000000000000000000000ID-30117000001L;0;;;;;
295;CR000025160771;IM00000000000000000000000ID-30117000003R;0;;;;;
296;CR000002196341;IM00000000000000000000000ID-301170000015;0;;;;;
297;CR000029091171;IM00000000000000000000000ID-30117000005K;0;;;;;
298;CR000016579251;IM00000000000000000000000ID-30117000005W;0;;;;;
299;CR000005312021;IM00000000000000000000000ID-30117000000I;0;;;;;
300;CR000014172641;IM00000000000000000000000ID-301170000088;0;;;;;
301;CR000027272131;IM00000000000000000000000ID-301170000057;0;;;;;
302;CR000035335981;IM00000000000000000000000ID-30117000006B;0;;;;;
303;CR000033086661;IM00000000000000000000000ID-301170000031;0;;;;;
304;CR000082786791;IM00000000000000000000000ID-30117000002T;0;;;;;
305;CR000036210201;IM00000000000000000000000ID-30117000008D;0;;;;;
306;CR000033499371;IM00000000000000000000000ID-30117000004Q;0;;;;;
307;CR000019765711;IM00000000000000000000000ID-30117000005F;0;;;;;
308;CR000039929581;IM00000000000000000000000ID-30117000001L;0;;;;;
309;CR000019689021;IM00000000000000000000000ID-301170000072;0;;;;;
310;CR000039940251;IM00000000000000000000000ID-30117000001L;0;;;;;
311;CR000040180311;IM00000000000000000000000ID-30117000000E;0;;;;;
312;CR000023004431;IM00000000000000000000000ID-30117000003N;0;;;;;
313;CR000006490831;IM00000000000000000000000ID-30117000006I;0;;;;;
314;CR000004428451;IM00000000000000000000000ID-301170000156;0;;;;;
315;CR000033673071;IM00000000000000000000000ID-30117000003O;0;;;;;
316;CR000091087691;IM00000000000000000000000ID-30117000005M;0;;;;;
317;FI000016282523;CH000004316476;0;;;;;
318;FI000016282513;SU000000869762;0;;;;;
319;FI000016282525;CH000004316159;0;;;;;
320;FI000016282587;CH000004316155;0;;;;;
321;FI000016282578;CH000004323203;0;;;;;
322;FI000016282559;CH000004317429;0;;;;;
323;FI000016282526;SU000000540489;0;;;;;
324;FI000016282512;CH000004309426;0;;;;;
325;FI000016282506;CH000004315505;0;;;;;
326;FI000016282502;SU000000880790;0;;;;;
327;CR000099496801;IM00000000000000000000000ID-301170000011;0;;;;;
328;CR000033620211;IM00000000000000000000000ID-30117000004U;0;;;;;
329;CR000016577741;IM00000000000000000000000ID-30117000002M;0;;;;;
330;CR000039927061;IM00000000000000000000000ID-30117000001L;0;;;;;
331;CR000025118941;IM00000000000000000000000ID-30117000002A;0;;;;;
332;CR000019349241;IM00000000000000000000000ID-30117000003V;0;;;;;
